system_id,system_name,stage,layer,chapter,requirement,status,severity,weighted_points,owner,evidence_path,action,due_days,model_id,prompt_version,rag_index_version,tool_policy_version
academic_support_assistant,Asistente académico con RAG,production,risk,09.01,risk_register_complete,pass,3,3.3,owner-risk,../c01-risk-governance/output/risk_register.md,mantener revisión mensual,30,provider-model@2026-06-07,academic-prompt@0.4.2,normativa-academica@2026.1,ticket-tools@0.3.0
academic_support_assistant,Asistente académico con RAG,production,privacy,09.02,dpia_precheck_and_minimization,pass,4,4.8,owner-privacy,../c02-privacy-dpia/output/dpia_precheck.md,mantener retención y redacción de trazas,30,provider-model@2026-06-07,academic-prompt@0.4.2,normativa-academica@2026.1,ticket-tools@0.3.0
academic_support_assistant,Asistente académico con RAG,production,llm_appsec,09.03,rag_tool_gate,pass,4,4.8,owner-platform,../c03-llm-appsec/output/appsec_gate_report.md,mantener gate antes de cambios,14,provider-model@2026-06-07,academic-prompt@0.4.2,normativa-academica@2026.1,ticket-tools@0.3.0
academic_support_assistant,Asistente académico con RAG,production,compliance,09.04,post_deployment_monitoring,review,3,3.9,owner-ops,../c04-compliance-audit/output/change_control_record.md,automatizar reporte mensual,21,provider-model@2026-06-07,academic-prompt@0.4.2,normativa-academica@2026.1,ticket-tools@0.3.0
admissions_prioritization_helper,Ayuda de priorización para admisiones,pilot,risk,09.01,high_impact_risk_register,pass,5,5.5,owner-risk,../c01-risk-governance/output/risk_register.md,mantener owner y riesgo residual,14,provider-model@2026-06-07,admissions-prompt@0.2.0,admissions-index@2026.1,admissions-tools@0.1.0
admissions_prioritization_helper,Ayuda de priorización para admisiones,pilot,privacy,09.02,dpia_retention_decision,review,5,6.0,owner-privacy,../c02-privacy-dpia/output/dpia_precheck.md,cerrar decisión formal de retención,14,provider-model@2026-06-07,admissions-prompt@0.2.0,admissions-index@2026.1,admissions-tools@0.1.0
admissions_prioritization_helper,Ayuda de priorización para admisiones,pilot,llm_appsec,09.03,tool_and_rag_boundary,review,4,4.8,owner-platform,../c03-llm-appsec/output/appsec_gate_report.md,probar escenarios de permisos en piloto,14,provider-model@2026-06-07,admissions-prompt@0.2.0,admissions-index@2026.1,admissions-tools@0.1.0
admissions_prioritization_helper,Ayuda de priorización para admisiones,pilot,compliance,09.04,recordkeeping_export,block,5,6.5,owner-platform,evidence/recordkeeping_contract.json,conectar contrato a export real de trazas,0,provider-model@2026-06-07,admissions-prompt@0.2.0,admissions-index@2026.1,admissions-tools@0.1.0
admissions_prioritization_helper,Ayuda de priorización para admisiones,pilot,compliance,09.04,fria_precheck,review,4,5.2,owner-governance,../c04-compliance-audit/output/compliance_gap_matrix.md,cerrar precheck con deployer,21,provider-model@2026-06-07,admissions-prompt@0.2.0,admissions-index@2026.1,admissions-tools@0.1.0
admissions_prioritization_helper,Ayuda de priorización para admisiones,pilot,operation,06.10,rollback_and_monitoring,review,4,4.0,owner-ops,../c04-compliance-audit/output/audit_gate.md,definir rollback y thresholds,21,provider-model@2026-06-07,admissions-prompt@0.2.0,admissions-index@2026.1,admissions-tools@0.1.0
internal_coding_helper,Asistente interno de código,production,risk,09.01,internal_use_register,pass,2,2.2,owner-risk,../c01-risk-governance/output/control_matrix.csv,mantener inventario interno,30,provider-code-model@2026-06-07,coding-prompt@1.1.0,engineering-docs@2026.2,repo-tools@0.5.1
internal_coding_helper,Asistente interno de código,production,llm_appsec,09.03,repo_tool_scope,pass,3,3.6,owner-platform,../c03-llm-appsec/output/tool_contract_matrix.csv,mantener scopes por repositorio,30,provider-code-model@2026-06-07,coding-prompt@1.1.0,engineering-docs@2026.2,repo-tools@0.5.1
internal_coding_helper,Asistente interno de código,production,operation,06.05,local_runtime_monitoring,pass,3,3.0,owner-ops,../c04-compliance-audit/output/provider_due_diligence_checklist.md,mantener observabilidad local,30,provider-code-model@2026-06-07,coding-prompt@1.1.0,engineering-docs@2026.2,repo-tools@0.5.1
admissions_prioritization_helper,Ayuda de priorización para admisiones,pilot,zero_trust_agents,09.03,agent_identity_and_short_lived_credentials,review,4,5.0,owner-platform,evidence/agent_identity_policy.yaml,asignar agent_id y credenciales de corta duración,14,provider-model@2026-06-07,admissions-prompt@0.2.0,admissions-index@2026.1,admissions-tools@0.1.0
admissions_prioritization_helper,Ayuda de priorización para admisiones,pilot,zero_trust_agents,09.03,least_agency_tool_boundary,review,5,6.25,owner-platform,evidence/tool_boundary_contract.yaml,separar prepare de execute y limitar scopes por tool,14,provider-model@2026-06-07,admissions-prompt@0.2.0,admissions-index@2026.1,admissions-tools@0.1.0
academic_support_assistant,Asistente académico con RAG,production,zero_trust_agents,09.02,memory_ttl_and_source_integrity,review,4,5.0,owner-privacy,evidence/memory_retention_policy.md,fijar TTL hash de origen y purga de memoria,21,provider-model@2026-06-07,academic-prompt@0.4.2,normativa-academica@2026.1,ticket-tools@0.3.0
internal_coding_helper,Asistente interno de código,production,zero_trust_agents,09.03,repo_scoped_agent_identity,pass,3,3.75,owner-platform,evidence/credential_scope_register.csv,mantener identidad por repositorio y entorno,30,provider-code-model@2026-06-07,coding-prompt@1.1.0,engineering-docs@2026.2,repo-tools@0.5.1
