query_id,rank,source_id,modality,fact_id,score,qrel_relevance,page,region_id,security_flags
q01_beca_envio,1,policy_text_submission_rule,document_text,policy_submission_rule,1.0067,3,1,sec_3_2,
q01_beca_envio,2,status_table_current,operational_record,status_current_pending_validation,0.993,3,,,
q01_beca_envio,3,general_rag_note,document_text,answer_must_cite_sources,0.6968,2,1,sec_3_3,
q01_beca_envio,4,policy_page_image_submission_rule,document_page_image,policy_submission_rule_visual,0.3607,1,1,regla_envio,
q01_beca_envio,5,invoice_page_visual,document_page_image,invoice_visual_total_529_98,0.1648,0,1,invoice_page_total,
q02_factura_total,1,invoice_table_lines,table,invoice_total_529_98,1.0035,3,1,invoice_line_items,
q02_factura_total,2,invoice_page_visual,document_page_image,invoice_visual_total_529_98,0.8605,3,1,invoice_page_total,
q02_factura_total,3,metric_table_values,table,pilot_metric_values,0.2996,0,,,
q02_factura_total,4,policy_page_image_submission_rule,document_page_image,policy_submission_rule_visual,0.2668,0,1,regla_envio,
q02_factura_total,5,unsafe_visual_instruction_page,document_page_image,visual_instruction_override_detected,0.2566,0,1,embedded_instruction,visual_instruction_override|unsafe_system_instruction
q03_piloto_metricas,1,metric_chart_visual,figure,pilot_latency_errors_down,1.1614,3,1,latency_error_chart,
q03_piloto_metricas,2,metric_table_values,table,pilot_metric_values,0.8992,3,,,
q03_piloto_metricas,3,invoice_table_lines,table,invoice_total_529_98,0.2928,0,1,invoice_line_items,
q03_piloto_metricas,4,general_rag_note,document_text,answer_must_cite_sources,0.1326,0,1,sec_3_3,
q03_piloto_metricas,5,status_table_current,operational_record,status_current_pending_validation,0.0962,0,,,
q04_instruccion_visual,1,unsafe_visual_instruction_page,document_page_image,visual_instruction_override_detected,0.9513,3,1,embedded_instruction,visual_instruction_override|unsafe_system_instruction
q04_instruccion_visual,2,general_rag_note,document_text,answer_must_cite_sources,0.6221,2,1,sec_3_3,
q04_instruccion_visual,3,policy_text_submission_rule,document_text,policy_submission_rule,0.3205,1,1,sec_3_2,
q04_instruccion_visual,4,policy_page_image_submission_rule,document_page_image,policy_submission_rule_visual,0.2711,0,1,regla_envio,
q04_instruccion_visual,5,invoice_page_visual,document_page_image,invoice_visual_total_529_98,0.2136,0,1,invoice_page_total,
q05_pregunta_sin_evidencia,1,policy_text_submission_rule,document_text,policy_submission_rule,0.7252,2,1,sec_3_2,
q05_pregunta_sin_evidencia,2,status_table_current,operational_record,status_current_pending_validation,0.6817,2,,,
q05_pregunta_sin_evidencia,3,general_rag_note,document_text,answer_must_cite_sources,0.2918,1,1,sec_3_3,
q05_pregunta_sin_evidencia,4,policy_page_image_submission_rule,document_page_image,policy_submission_rule_visual,0.1217,0,1,regla_envio,
q05_pregunta_sin_evidencia,5,invoice_table_lines,table,invoice_total_529_98,0.1174,0,1,invoice_line_items,
