case_id,created_at,student_id,source_id,product,channel,label,text
s001,2026-04-01,stu-001,doc-mat-001,matricula,portal,answer,"consulta sobre plazo de matricula ordinaria"
s002,2026-04-02,stu-002,doc-bec-001,becas,email,ask_more,"duda incompleta sobre requisitos de beca"
s003,2026-04-03,stu-003,doc-pay-001,pagos,portal,answer,"pregunta sobre justificante de pago pendiente"
s004,2026-04-04,stu-004,doc-hor-001,horarios,chat,answer,"consulta de horarios de laboratorio"
s005,2026-04-05,stu-005,doc-mat-002,matricula,email,escalate,"caso con cambio de expediente y plazo cerrado"
s006,2026-04-06,stu-006,doc-tit-001,titulos,portal,answer,"solicitud de estado de titulo emitido"
s007,2026-04-07,stu-007,doc-bec-002,becas,portal,answer,"consulta sobre documentacion de beca"
s008,2026-04-08,stu-008,doc-pra-001,practicas,chat,ask_more,"mensaje ambiguo sobre convenio de practicas"
s009,2026-04-09,stu-001,doc-mat-001,matricula,email,answer,"consulta sobre plazo matricula ordinaria"
s010,2026-04-10,stu-009,doc-pay-002,pagos,email,escalate,"reclamacion de pago duplicado"
s011,2026-04-11,stu-010,doc-hor-002,horarios,chat,answer,"consulta de cambio de grupo horario"
s012,2026-04-12,stu-011,doc-bec-003,becas,portal,ask_more,"faltan datos para revisar beca"
s013,2026-04-13,stu-012,doc-mat-003,matricula,email,answer,"consulta sobre anulacion parcial de matricula"
s014,2026-04-14,stu-002,doc-bec-001,becas,email,ask_more,"duda incompleta sobre requisitos de beca"
s015,2026-04-15,stu-013,doc-bec-004,becas,chat,escalate,"revision urgente de beca denegada"
s016,2026-04-16,stu-014,doc-pra-002,practicas,email,ask_more,"convenio de practicas sin empresa indicada"
s017,2026-04-17,stu-015,doc-tit-002,titulos,portal,answer,"duplicado de titulo y tasas asociadas"
s018,2026-04-18,stu-016,doc-hor-003,horarios,chat,answer,"aula asignada a una sesion de seminario"
s019,2026-04-19,stu-003,doc-pay-001,pagos,portal,answer,"pregunta sobre justificante pago pendiente"
s020,2026-04-20,stu-017,doc-mat-004,matricula,portal,answer,"consulta sobre ampliacion de matricula"
s021,2026-04-21,stu-018,doc-bec-005,becas,email,ask_more,"beca sin convocatoria indicada"
s022,2026-04-22,stu-019,doc-pay-003,pagos,portal,answer,"confirmacion de recibo ya abonado"
s023,2026-04-23,stu-020,doc-mat-005,matricula,email,escalate,"matricula bloqueada por expediente en revision"
s024,2026-04-24,stu-021,doc-hor-004,horarios,chat,answer,"consulta sobre aula y horario de seminario"
