case_id,modality,asset,trust_boundary,failure_mode,control,test,decision,risk_score
doc_dni_invoice,document,"PDF, OCR y campos extraídos",upload de usuario -> OCR/Document AI -> proveedor o store interno,un identificador se conserva o viaja fuera de finalidad,"ocr_pii_scan, field_level_redaction, retention_policy",fixture con DNI/correo y aserción de redacción por campo,review,0.4959
image_badge_face,image,"píxeles, regiones detectadas y metadatos EXIF",imagen del usuario -> preprocesado -> modelo visual,"cara, matrícula, dirección o GPS quedan visibles","image_pii_scan, region_redaction, metadata_strip",imagen con región sensible y metadatos antes/después,review,0.455
audio_phone_slot,audio,"audio bruto, transcript, slots y voz",stream de voz -> ASR -> extractor de intención,dato personal o sanitario se guarda como transcript bruto,"transcript_pii_scan, slot_confirmation, retention_policy",transcript con baja confianza y entidad sensible,pass,0.3178
video_license_plate,video,"frames, objetos, eventos y marcas temporales",vídeo -> muestreo de frames -> analítica temporal,se conservan identificadores en frames no necesarios,"frame_sampling_policy, region_redaction, retention_policy",frame con matrícula/cara y control faltante,review,0.531
rag_confidential_slide,rag,"fuentes recuperadas, OCR de documentos y citas",índice multimodal -> retrieval -> contexto del modelo,fuente interna o nota confidencial aparece en respuesta,"acl_filter, source_label, claim_grounding",documento con ACL y claim sensible no autorizado,block,0.5937
ui_api_key_prompt_injection,ui_trace,"captura, DOM, OCR, cookies, panel de red y acción externa",pantalla observada -> agente -> tool externa,OCR malicioso o secreto gobierna una acción,"secret_scan, taint_ocr, approval_gate, egress_policy",captura con API key y orden visual,block,0.718
computer_use_external_submit,ui_trace,"captura, DOM, OCR, cookies, panel de red y acción externa",pantalla observada -> agente -> tool externa,OCR malicioso o secreto gobierna una acción,"secret_scan, taint_ocr, approval_gate, egress_policy",captura con API key y orden visual,block,0.7665
eval_dataset_student_email,eval_dataset,"fixture, prompt, metadatos, expected output y trazas",incidente real -> dataset de evaluación -> CI,un dato real queda congelado como regresión,"redacted_fixture, dataset_owner, retention_policy",fixture con correo o token reconstruible,review,0.4633
image_exif_location,image,"píxeles, regiones detectadas y metadatos EXIF",imagen del usuario -> preprocesado -> modelo visual,"cara, matrícula, dirección o GPS quedan visibles","image_pii_scan, region_redaction, metadata_strip",imagen con región sensible y metadatos antes/después,review,0.6022
low_res_ocr_missed_dni,document,"PDF, OCR y campos extraídos",upload de usuario -> OCR/Document AI -> proveedor o store interno,un identificador se conserva o viaja fuera de finalidad,"ocr_pii_scan, field_level_redaction, retention_policy",fixture con DNI/correo y aserción de redacción por campo,review,0.485
audio_noise_health_hint,audio,"audio bruto, transcript, slots y voz",stream de voz -> ASR -> extractor de intención,dato personal o sanitario se guarda como transcript bruto,"transcript_pii_scan, slot_confirmation, retention_policy",transcript con baja confianza y entidad sensible,review,0.5237
eval_reconstructible_token_fragment,eval_dataset,"fixture, prompt, metadatos, expected output y trazas",incidente real -> dataset de evaluación -> CI,un dato real queda congelado como regresión,"redacted_fixture, dataset_owner, retention_policy",fixture con correo o token reconstruible,block,0.619
reflection_face_in_public_photo,image,"píxeles, regiones detectadas y metadatos EXIF",imagen del usuario -> preprocesado -> modelo visual,"cara, matrícula, dirección o GPS quedan visibles","image_pii_scan, region_redaction, metadata_strip",imagen con región sensible y metadatos antes/después,review,0.3977
public_product_photo,image,"píxeles, regiones detectadas y metadatos EXIF",imagen del usuario -> preprocesado -> modelo visual,"cara, matrícula, dirección o GPS quedan visibles","image_pii_scan, region_redaction, metadata_strip",imagen con región sensible y metadatos antes/después,pass,0.056
