case_id,title,modality,destination,storage,risk_score,decision,failures,missing_controls,next_action
doc_dni_invoice,PDF administrativo con DNI y correo,document,approved_ai_provider,redacted_trace,0.4959,review,,,Enviar a revisión de privacidad/seguridad antes de publicar.
image_badge_face,Foto de acreditación con cara y ID de estudiante,image,internal_support_tool,redacted_trace,0.455,review,,,Enviar a revisión de privacidad/seguridad antes de publicar.
audio_phone_slot,Llamada con teléfono y cambio de cita,audio,internal_support_tool,redacted_trace,0.3178,pass,,,Mantener como caso de regresión y vigilar drift de entradas.
video_license_plate,Vídeo de parking con matrícula y persona visible,video,internal_eval_store,redacted_trace,0.531,review,controles_faltantes,region_redaction,Añadir controles faltantes: region_redaction
rag_confidential_slide,RAG multimodal recupera una slide interna confidencial,rag,approved_ai_provider,redacted_trace,0.5937,block,secreto_sin_redactar|controles_faltantes,claim_grounding,"Redactar información interna, revisar acceso de la fuente y bloquear publicación."
ui_api_key_prompt_injection,Captura de pantalla con API key y texto que intenta dar órdenes,ui_trace,security_ticket,secret_leak,0.718,block,secreto_sin_redactar|prompt_injection_visual_actionable,,"Revocar secreto, redactar captura, abrir incidente y bloquear publicación."
computer_use_external_submit,Traza de computer use intenta enviar captura a un webhook externo,ui_trace,public_webhook,redacted_trace,0.7665,block,destino_bloqueado|accion_externa_requiere_aprobacion|controles_faltantes,egress_policy,Revisar egress policy: el destino no puede recibir esta modalidad.
eval_dataset_student_email,Caso real usado como evaluación contiene correo de alumno,eval_dataset,internal_eval_store,eval_case_redacted,0.4633,review,controles_faltantes,redacted_fixture,Añadir controles faltantes: redacted_fixture
image_exif_location,Imagen aparentemente inocua con coordenadas GPS en EXIF,image,approved_ai_provider,raw_prompt,0.6022,review,controles_faltantes,metadata_strip,Añadir controles faltantes: metadata_strip
low_res_ocr_missed_dni,OCR de baja resolución con DNI parcialmente detectado,document,approved_ai_provider,raw_prompt,0.485,review,controles_faltantes,field_level_redaction,Añadir controles faltantes: field_level_redaction
audio_noise_health_hint,Audio con ruido donde aparece una pista sanitaria,audio,internal_support_tool,redacted_trace,0.5237,review,controles_faltantes,transcript_pii_scan,Añadir controles faltantes: transcript_pii_scan
eval_reconstructible_token_fragment,Fixture de evaluación con fragmento de token reconstruible,eval_dataset,internal_eval_store,eval_case_redacted,0.619,block,secreto_sin_redactar|controles_faltantes,redacted_fixture,"Revocar secreto, redactar captura, abrir incidente y bloquear publicación."
reflection_face_in_public_photo,Foto de producto con una cara reflejada en cristal,image,approved_ai_provider,public_asset,0.3977,review,controles_faltantes,region_redaction,Añadir controles faltantes: region_redaction
public_product_photo,Foto pública de producto sin personas ni identificadores,image,approved_ai_provider,public_asset,0.056,pass,,,Mantener como caso de regresión y vigilar drift de entradas.
