system_id,system_name,initial_classification,framework,requirement_id,requirement_label,question,expected_artifact,evidence_path,evidence_owner,evidence_version,reviewed_on,evidence_status,gate_status,notes
academic_support_assistant,Asistente académico con RAG,gobernanza_y_transparencia,ISO/IEC 42001,AIMS_SCOPE,Alcance del sistema de gestión de IA,"¿Qué sistemas, roles, datos, proveedores y entornos cubre el AIMS?",iso42001_aims_scope.md,output/iso42001_aims_scope.md,owner-governance,0.1.0,2026-06-07,accepted,cerrado,alcance inicial cubre el sistema académico
academic_support_assistant,Asistente académico con RAG,gobernanza_y_transparencia,NIST AI RMF,AI_INVENTORY,Inventario de sistemas de IA,"¿Sabemos qué sistemas existen, quién los opera y qué versión está viva?",ai_system_register.csv,output/ai_system_register.csv,equipo-plataforma-ia,0.1.0,2026-06-07,accepted,cerrado,inventario generado por este kit
academic_support_assistant,Asistente académico con RAG,gobernanza_y_transparencia,AI Act,AIACT_ART15_QUALITY_ROBUSTNESS,"Art. 15 · precisión, robustez y seguridad técnica","¿Hay evals, SLO, regresiones, appsec gate y monitorización?",eval_and_robustness_report.md,../c03-llm-appsec/output/appsec_gate_report.md,owner-eval,0.3.0,2026-06-07,accepted,cerrado,gate técnico reutilizado del capítulo 03
academic_support_assistant,Asistente académico con RAG,gobernanza_y_transparencia,AI Act,AIACT_ART72_POST_MARKET,Art. 72 · seguimiento postdespliegue,"¿Se monitoriza calidad, seguridad, cambios, incidencias y retirada?",post_deployment_monitoring_plan.md,output/change_control_record.md,owner-ops,0.1.0,2026-06-07,partial,condición,falta automatizar reporte mensual
academic_support_assistant,Asistente académico con RAG,gobernanza_y_transparencia,GDPR,GDPR_DPIA,DPIA/EIPD y minimización,"¿El tratamiento de datos personales tiene finalidad, base, minimización, retención y derechos?",dpia_precheck.md,../c02-privacy-dpia/output/dpia_precheck.md,owner-privacy,0.2.0,2026-06-07,accepted,cerrado,precheck de privacidad conectado con el capítulo 02
academic_support_assistant,Asistente académico con RAG,gobernanza_y_transparencia,NIST AI RMF,NIST_GOVERN_MAP_MEASURE_MANAGE,"Govern, Map, Measure, Manage","¿La decisión está gobernada, mapeada, medida y gestionada con evidencias?",ai_rmf_crosswalk.md,output/article_to_artifact_crosswalk.csv,owner-governance,0.1.0,2026-06-07,accepted,cerrado,crosswalk de gobierno y medición
admissions_prioritization_helper,Ayuda de priorización para admisiones,alto_riesgo_posible,ISO/IEC 42001,AIMS_SCOPE,Alcance del sistema de gestión de IA,"¿Qué sistemas, roles, datos, proveedores y entornos cubre el AIMS?",iso42001_aims_scope.md,output/iso42001_aims_scope.md,owner-governance,0.1.0,2026-06-07,accepted,cerrado,alcance incluye piloto de admisiones
admissions_prioritization_helper,Ayuda de priorización para admisiones,alto_riesgo_posible,NIST AI RMF,AI_INVENTORY,Inventario de sistemas de IA,"¿Sabemos qué sistemas existen, quién los opera y qué versión está viva?",ai_system_register.csv,output/ai_system_register.csv,equipo-datos-academicos,0.1.0,2026-06-07,accepted,cerrado,inventario generado por este kit
admissions_prioritization_helper,Ayuda de priorización para admisiones,alto_riesgo_posible,AI Act,AIACT_ART9_RISK_MANAGEMENT,Art. 9 · gestión de riesgos,"¿El sistema tiene riesgos identificados, controles, owners y revisión residual?",risk_register.md,../c01-risk-governance/output/risk_register.md,owner-risk,0.3.0,2026-06-07,accepted,cerrado,registro de riesgos vivo
admissions_prioritization_helper,Ayuda de priorización para admisiones,alto_riesgo_posible,AI Act,AIACT_ART10_DATA_GOVERNANCE,Art. 10 · gobernanza de datos,"¿Los datos tienen linaje, calidad, exclusiones y revisión de representatividad?",data_governance_pack.md,output/data_governance_pack.md,owner-data,0.1.0,2026-06-07,partial,condición,falta cierre de representatividad por programa académico
admissions_prioritization_helper,Ayuda de priorización para admisiones,alto_riesgo_posible,AI Act,AIACT_ART11_ANNEXIV_TECH_DOC,Art. 11 + Annex IV · documentación técnica,"¿Existe technical file versionado con finalidad, arquitectura, datos, evals y límites?",annex_iv_technical_file.md,output/annex_iv_technical_file.md,equipo-datos-academicos,0.1.0,2026-06-07,accepted,cerrado,technical file mínimo generado
admissions_prioritization_helper,Ayuda de priorización para admisiones,alto_riesgo_posible,AI Act,AIACT_ART12_RECORD_KEEPING,Art. 12 · record-keeping,¿Hay logs exportables que reconstruyan decisiones de sistema sin guardar más datos de los necesarios?,trace_evidence_sample.jsonl,output/trace_evidence_sample.jsonl,owner-platform,0.0.0,2026-06-07,missing,bloqueante,no hay export real de trazas del piloto
admissions_prioritization_helper,Ayuda de priorización para admisiones,alto_riesgo_posible,AI Act,AIACT_ART13_INSTRUCTIONS,Art. 13 · instrucciones de uso,"¿Quién despliega entiende finalidad, límites, datos, métricas y operación?",operator_manual.md,output/operator_manual.md,owner-product,0.1.0,2026-06-07,partial,condición,falta validar instrucciones con operadores
