scenario,case_id,title,capabilities,chapter_refs,modalities,quality_score,base_risk,mitigation_credit,risk_score,latency_ms,cost_units,failure_rate,decision,failures,missing_evidence,missing_controls,next_action
baseline,catalog_alt_text,Generador de texto alternativo para catálogo,vision_language,1|2|4|10,image|text,0.865,0.08,0.05,0.03,900,1.4,0.01,pass,,,,Publicar con monitorización y conservar evidencia de release.
baseline,invoice_table_extraction,Extracción de importes en facturas escaneadas,document_ai,2|5|10|11,pdf|ocr|table,0.7975,0.18,0.12,0.06,1800,4.8,0.035,review,missing_evidence,table_eval,,Completar evidencias: table_eval
baseline,policy_rag_with_internal_slides,RAG multimodal sobre políticas con slides internas,multimodal_rag|risk_ops,3|5|6|10|11,pdf|image|ocr|text,0.7975,0.58,0.13,0.45,2100,7.2,0.045,block,failure_rate_above_slo|missing_controls|missing_evidence|missing_policy_decision|secret_without_full_response,artifact_lineage|policy_decision|source_acl_check,revocation_runbook|secret_scan,"Bloquear, escanear secretos, redactar artefactos y definir runbook de revocación."
baseline,voice_appointment_agent,Asistente de voz para cambiar citas,realtime_voice,7|9|10|11,audio|transcript|tool_call,0.78,0.18,0.12,0.06,2600,5.1,0.025,review,latency_above_slo|missing_evidence,latency_trace,,Completar evidencias: latency_trace
baseline,parking_video_event_triage,Vídeo para detectar accesos a parking,video_temporal|risk_ops,2|8|10|11,video|frames|event_timeline,0.6825,0.18,0.0,0.18,3100,8.8,0.055,review,failure_rate_above_slo|latency_above_slo|missing_controls|missing_evidence|missing_policy_decision|quality_below_pass,artifact_lineage|policy_decision|temporal_eval,redaction_plan,"Completar evidencias: artifact_lineage, policy_decision, temporal_eval"
baseline,computer_use_claim_submission,Agente que rellena un formulario externo con captura de pantalla,computer_use|risk_ops,9|10|11,screenshot|dom|tool_call,0.8325,0.92,0.08,0.84,1700,6.2,0.02,block,external_action_without_approval_or_egress|missing_controls|missing_evidence|risk_above_block|secret_without_full_response,approval_card|artifact_lineage|egress_policy|redaction_plan,approval_gate|egress_policy|redaction_plan|retention_policy|revocation_runbook,"Bloquear, escanear secretos, redactar artefactos y definir runbook de revocación."
baseline,visual_search_catalog,Buscador visual para documentación de producto,vision_language|multimodal_rag,2|3|4|6|10,image|embedding|text|pdf,0.8425,0.2,0.13,0.07,1900,5.9,0.025,pass,,,,Publicar con monitorización y conservar evidencia de release.
baseline,student_multimodal_helpdesk,Helpdesk multimodal para alumnado,document_ai|multimodal_rag|realtime_voice|risk_ops,5|6|7|10|11,pdf|audio|image|ocr|rag,0.725,0.3,0.2,0.1,2400,9.4,0.052,review,cost_above_budget|failure_rate_above_slo|latency_above_slo|missing_evidence|missing_policy_decision|quality_below_pass,artifact_lineage|grounded_answer_eval|latency_trace|policy_decision|slot_eval|source_acl_check|table_eval,,"Completar evidencias: artifact_lineage, grounded_answer_eval, latency_trace, policy_decision"
remediated,catalog_alt_text,Generador de texto alternativo para catálogo,vision_language,1|2|4|10,image|text,0.88,0.08,0.05,0.03,850,1.3,0.01,pass,,,,Publicar con monitorización y conservar evidencia de release.
remediated,invoice_table_extraction,Extracción de importes en facturas escaneadas,document_ai,2|5|10|11,pdf|ocr|table,0.8525,0.18,0.12,0.06,1650,4.3,0.025,pass,,,,Publicar con monitorización y conservar evidencia de release.
remediated,policy_rag_with_internal_slides,RAG multimodal sobre políticas con slides internas,multimodal_rag|risk_ops,3|5|6|10|11,pdf|image|ocr|text,0.8375,0.2,0.13,0.07,2000,6.7,0.03,pass,,,,Publicar con monitorización y conservar evidencia de release.
remediated,voice_appointment_agent,Asistente de voz para cambiar citas,realtime_voice,7|9|10|11,audio|transcript|tool_call,0.8175,0.18,0.12,0.06,1700,4.6,0.02,pass,,,,Publicar con monitorización y conservar evidencia de release.
remediated,parking_video_event_triage,Vídeo para detectar accesos a parking,video_temporal|risk_ops,2|8|10|11,video|frames|event_timeline,0.7675,0.18,0.12,0.06,2150,8.1,0.035,review,missing_evidence|missing_policy_decision|quality_below_pass,policy_decision,,Completar evidencias: policy_decision
remediated,computer_use_claim_submission,Agente que rellena un formulario externo con captura de pantalla,computer_use|risk_ops,9|10|11,screenshot|dom|tool_call,0.86,0.54,0.38,0.16,1750,6.0,0.018,pass,,,,Publicar con monitorización y conservar evidencia de release.
remediated,visual_search_catalog,Buscador visual para documentación de producto,vision_language|multimodal_rag,2|3|4|6|10,image|embedding|text|pdf,0.8575,0.2,0.13,0.07,1800,5.4,0.02,pass,,,,Publicar con monitorización y conservar evidencia de release.
remediated,student_multimodal_helpdesk,Helpdesk multimodal para alumnado,document_ai|multimodal_rag|realtime_voice|risk_ops,5|6|7|10|11,pdf|audio|image|ocr|rag,0.8,0.3,0.2,0.1,2100,8.6,0.033,pass,,,,Publicar con monitorización y conservar evidencia de release.
candidate,catalog_alt_text,Generador de texto alternativo para catálogo,vision_language,1|2|4|10,image|text,0.88,0.08,0.05,0.03,850,1.3,0.01,pass,,,,Publicar con monitorización y conservar evidencia de release.
candidate,invoice_table_extraction,Extracción de importes en facturas escaneadas,document_ai,2|5|10|11,pdf|ocr|table,0.8525,0.18,0.12,0.06,1650,4.3,0.025,pass,,,,Publicar con monitorización y conservar evidencia de release.
candidate,policy_rag_with_internal_slides,RAG multimodal sobre políticas con slides internas,multimodal_rag|risk_ops,3|5|6|10|11,pdf|image|ocr|text,0.8375,0.2,0.13,0.07,2000,6.7,0.03,pass,,,,Publicar con monitorización y conservar evidencia de release.
candidate,voice_appointment_agent,Asistente de voz para cambiar citas,realtime_voice,7|9|10|11,audio|transcript|tool_call,0.8175,0.18,0.12,0.06,1700,4.6,0.02,pass,,,,Publicar con monitorización y conservar evidencia de release.
candidate,parking_video_event_triage,Vídeo para detectar accesos a parking,video_temporal|risk_ops,2|8|10|11,video|frames|event_timeline,0.815,0.18,0.12,0.06,2050,8.3,0.028,pass,,,,Publicar con monitorización y conservar evidencia de release.
candidate,computer_use_claim_submission,Agente que rellena un formulario externo con captura de pantalla,computer_use|risk_ops,9|10|11,screenshot|dom|tool_call,0.86,0.54,0.38,0.16,1750,6.0,0.018,pass,,,,Publicar con monitorización y conservar evidencia de release.
candidate,visual_search_catalog,Buscador visual para documentación de producto,vision_language|multimodal_rag,2|3|4|6|10,image|embedding|text|pdf,0.8575,0.2,0.13,0.07,1800,5.4,0.02,pass,,,,Publicar con monitorización y conservar evidencia de release.
candidate,student_multimodal_helpdesk,Helpdesk multimodal para alumnado,document_ai|multimodal_rag|realtime_voice|risk_ops,5|6|7|10|11,pdf|audio|image|ocr|rag,0.8,0.3,0.2,0.1,2100,8.6,0.033,pass,,,,Publicar con monitorización y conservar evidencia de release.
